Entry	Protein names	Gene names	Length	Region
Q04673	General transcription and DNA repair factor IIH subunit SSL1 (TFIIH subunit SSL1) (RNA polymerase II transcription factor B subunit SSL1) (TFB subunit SSL1) (Suppressor of stem-loop protein 1)	SSL1 YLR005W	461	REGION 1..70;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38931	Mediator of RNA polymerase II transcription subunit 13 (Mediator complex subunit 13) (Protein SCA1) (Suppressor of RNA polymerase B SSN2)	SSN2 MED13 NUT8 RYE3 SCA1 SRB9 UME2 YDR443C	1420	REGION 416..511;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 653..691;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38871	Sporulation-specific protein 1	SSP1 YHR184W	571	REGION 1..53;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 67..133;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 482..501;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q06524	Protein SUE1, mitochondrial	SUE1 YPR151C	206	
P53937	37S ribosomal protein SWS2, mitochondrial (Mitochondrial small ribosomal subunit protein uS13m) (Sick without securin protein 2)	SWS2 YNL081C N2322	143	
P38358	Vacuolar basic amino acid transporter 2	VBA2 YBR293W YBR2109	474	
P04803	Tryptophan--tRNA ligase, mitochondrial (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	MSW1 MSW YDR268W D9954.7	379	
Q99385	Vacuolar calcium ion transporter (High copy number undoes manganese protein 1) (Manganese resistance 1 protein) (Vacuolar Ca(2+)/H(+) exchanger)	VCX1 HUM1 MNR1 YDL128W	411	
P04840	Mitochondrial outer membrane protein porin 1 (Voltage-dependent anion-selective channel protein 1) (VDAC-1)	POR1 OMP2 VDAC1 YNL055C N2441 YNL2441C	283	
P40478	Mitochondrial outer membrane protein porin 2 (Voltage-dependent anion-selective channel protein 2) (VDAC-2)	POR2 YIL114C	281	
P40498	U3 small nucleolar RNA-associated protein 25 (U3 snoRNA-associated protein 25) (U three protein 25)	UTP25 YIL091C	721	REGION 1..168;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P16140	V-type proton ATPase subunit B (V-ATPase subunit B) (V-ATPase 57 kDa subunit) (Vacuolar proton pump subunit B)	VMA2 VAT2 YBR127C YBR1002	517	REGION 487..517;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q06679	U3 small nucleolar RNA-associated protein 4 (U3 snoRNA-associated protein 4) (U three protein 4) (U3 protein 4 required for transcription) (t-UTP4)	UTP4 YDR324C	776	
Q04177	U3 small nucleolar RNA-associated protein 5 (U3 snoRNA-associated protein 5) (U three protein 5) (U3 protein 5 required for transcription) (t-UTP5)	UTP5 YDR398W D9509.17	643	REGION 565..643;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q02354	U3 small nucleolar RNA-associated protein 6 (U3 snoRNA-associated protein 6) (U three protein 6)	UTP6 YDR449C D9461.34	440	REGION 216..241;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40055	U3 small nucleolar RNA-associated protein 7 (U3 snoRNA-associated protein 7) (U three protein 7)	UTP7 KRE31 YER082C	554	REGION 1..39;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 475..496;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53276	U3 small nucleolar RNA-associated protein 8 (U3 snoRNA-associated protein 8) (U three protein 8) (U3 protein 8 required for transcription) (t-UTP8)	UTP8 YGR128C	713	
P38882	U3 small nucleolar RNA-associated protein 9 (U3 snoRNA-associated protein 9) (U three protein 9) (U3 protein 9 required for transcription) (t-UTP9)	UTP9 YHR196W	575	REGION 340..375;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40554	Ubiquitin-related modifier 1	URM1 YIL008W	99	
Q06525	Pre-mRNA-splicing factor URN1 (U2-U5-U6 snRNP, RES complex and NTC-interacting pre-mRNA-splicing factor 1)	URN1 YPR152C	465	REGION 28..49;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 144..198;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 266..288;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P21373	NAD(+) kinase (EC 2.7.1.23) (Unknown transcript 1 protein)	UTR1 YJR049C J1655	530	REGION 1..27;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 57..99;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 486..530;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P32630	Protein UTR5 (Unknown transcript 5 protein)	UTR5 YEL035C SYGP-ORF27	166	
P31412	V-type proton ATPase subunit C (V-ATPase subunit C) (V-ATPase 42 kDa subunit) (Vacuolar proton pump subunit C)	VMA5 VAT3 VATC YKL080W YKL410	392	
Q12063	Dehydrodolichyl diphosphate synthase complex subunit NUS1 (EC 2.5.1.87) (Nuclear undecaprenyl pyrophosphate synthase 1)	NUS1 YDL193W D1239	375	REGION 1..48;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P32610	V-type proton ATPase subunit D (V-ATPase subunit D) (Vacuolar proton pump subunit D)	VMA8 YEL051W SYGP-ORF11	256	REGION 211..256;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P22203	V-type proton ATPase subunit E (V-ATPase subunit E) (V-ATPase 27 kDa subunit) (Vacuolar proton pump subunit E)	VMA4 VAT5 YOR332W O6241	233	REGION 8..20;  /note="Interaction with VMA5";  /evidence="ECO:0000269|PubMed:15751969"; REGION 19..38;  /note="Interaction with VMA10";  /evidence="ECO:0000269|PubMed:15751969"
P39111	V-type proton ATPase subunit F (V-ATPase subunit F) (V-ATPase 14 kDa subunit) (Vacuolar proton pump subunit F)	VMA7 YGR020C	118	
P48836	V-type proton ATPase subunit G (V-ATPase subunit G) (V-ATPase 13 kDa subunit) (Vacuolar proton pump subunit G)	VMA10 YHR039C-A YHR039BC YHR039C-B	114	
P41807	V-type proton ATPase subunit H (V-ATPase subunit H) (V-ATPase 54 kDa subunit) (Vacuolar proton pump subunit H)	VMA13 CLS11 YPR036W YP3085.02	478	
P25515	V-type proton ATPase subunit c (V-ATPase subunit c) (Guanine nucleotide exchange factor 2) (V-ATPase 16 kDa proteolipid subunit 1) (Vacuolar proton pump c subunit)	VMA3 CLS7 CUP5 GEF2 YEL027W	160	
P32842	V-type proton ATPase subunit c' (V-ATPase subunit c') (Proteolipid protein VMA11) (Trifluoperazine resistance protein 3) (V-ATPase 16 kDa proteolipid subunit 2) (Vacuolar proton pump c' subunit)	VMA11 CLS9 TFP3 YPL234C P1064	164	
Q12132	Nutrient and stress factor 1 (Up in starvation protein 1)	USV1 NSF1 YPL230W P1421	391	REGION 1..37;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 91..149;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 326..374;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P01149	Mating factor alpha-1 (Alpha-1 mating pheromone) [Cleaved into: Mating factor alpha]	MF(ALPHA)1 MF-ALPHA-1 MFAL1 YPL187W	165	
Q08179	Mitochondrial distribution and morphology protein 38	MDM38 YOL027C	573	REGION 417..455;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 477..573;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P33308	Mediator of RNA polymerase II transcription subunit 9 (Chromosome segregation protein 2) (Mediator complex subunit 9)	CSE2 MED9 YNR010W N2046	149	REGION 18..64;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P54199	Serine/threonine-protein kinase MPS1 (EC 2.7.12.2) (Monopolar spindle protein 1) (Regulatory cell proliferation kinase 1)	MPS1 RPK1 YDL028C D2785	764	REGION 66..95;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 197..216;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 258..316;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12083	DNA mismatch repair protein MLH3 (MutL protein homolog 3)	MLH3 YPL164C P2550	715	
P35198	Protein MTH1	MTH1 YDR277C D9954.12	433	REGION 1..117;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q03677	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD) (Fe-ARD)	ADI1 YMR009W YM8270.12	179	
P33749	Zinc finger protein MSN4 (Multicopy suppressor of SNF1 protein 4)	MSN4 YKL062W	630	REGION 37..77;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 115..137;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 292..322;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 360..379;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 502..566;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q06106	Multiple RNA-binding domain-containing protein 1	MRD1 YPR112C	887	REGION 121..143;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 203..276;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 297..336;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 864..887;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q03104	Meiotic sister chromatid recombination protein 1	MSC1 YML128C YM4987.07C	513	
P32633	Maintenance of telomere capping protein 7	MTC7 YEL033W SYGP-ORF22	139	REGION 94..121;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P35719	Uncharacterized protein MRP8	MRP8 YKL142W YKL3	219	
P15424	ATP-dependent RNA helicase MSS116, mitochondrial (EC 3.6.4.13)	MSS116 YDR194C YD9346.05C	664	REGION 42..79;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 602..664;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q08471	G1-specific transcription factors activator MSA1 (MBF and SBF-associated protein 1)	MSA1 YOR066W YOR29-17	629	REGION 1..60;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 83..106;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 217..286;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 455..485;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 586..629;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38795	Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing])	QNS1 YHR074W	714	REGION 329..714;  /note="Ligase"
Q04149	Crossover junction endonuclease MUS81 (EC 3.1.22.-) (MMS and UV-sensitive protein 81)	MUS81 SLX3 YDR386W D9509.6	632	REGION 109..129;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 527..632;  /note="Interaction with MMS4"
Q12493	Inner kinetochore subunit NKP1 (Constitutive centromere-associated network protein NKP1) (Non-essential kinetochore protein 1)	NKP1 YDR383C	238	
P53204	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2 (NMN/NaMN adenylyltransferase 2) (EC 2.7.7.1) (EC 2.7.7.18) (NAD(+) diphosphorylase 2) (NAD(+) pyrophosphorylase 2) (Nicotinamide-nucleotide adenylyltransferase 2) (NMN adenylyltransferase 2) (NMNAT 2) (Nicotinate-nucleotide adenylyltransferase 2) (NaMN adenylyltransferase 2) (NaMNAT 2)	NMA2 YGR010W	395	REGION 1..34;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 62..102;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 206..208;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:Q9HAN9"; REGION 244..247;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:Q9HAN9"; REGION 294..295;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:Q9HAN9"
P39682	Pre-mRNA-processing factor 39	PRP39 YML046W YM9827.06	629	
Q12311	NuA3 HAT complex component NTO1	NTO1 YPR031W	748	
P23287	Serine/threonine-protein phosphatase 2B catalytic subunit A1 (EC 3.1.3.16) (Calcineurin A1) (Calmodulin-binding protein 1)	CNA1 CMP1 YLR433C L9753.6	553	REGION 413..447;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P14747	Serine/threonine-protein phosphatase 2B catalytic subunit A2 (EC 3.1.3.16) (Calcineurin A2) (Calmodulin-binding protein 2)	CMP2 CNA2 YML057W YM9958.05	604	REGION 21..48;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 470..497;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 501..523;  /note="Calmodulin-binding";  /evidence="ECO:0000255"
P06100	General negative regulator of transcription subunit 2 (cell division cycle protein 36)	CDC36 DNA19 NOT2 YDL165W	191	
P21957	Transcriptional repressor OPI1 (Negative regulator of phospholipid biosynthesis) (Overproducer of inositol protein 1)	OPI1 YHL020C	404	REGION 25..51;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 109..138;  /note="Basic motif"; REGION 139..160;  /note="Leucine-zipper"; REGION 170..201;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 305..327;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 378..404;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53949	Tyrosine-protein phosphatase-like protein OCA2 (Oxidant-induced cell-cycle arrest protein 2)	OCA2 YNL056W N2439 YNL2439W	197	
P54784	Origin recognition complex subunit 1 (Origin recognition complex 120 kDa subunit)	ORC1 YML065W	914	REGION 218..343;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P0CE85	Seripauperin-19	PAU19 YMR325W YM9924.17	124	
P08018	MAP kinase kinase PBS2 (EC 2.7.12.2) (Polymyxin B resistance protein 2) (Suppressor of fluoride sensitivity 4)	PBS2 HOG4 SFS4 SSK4 YJL128C J0699	668	REGION 1..43;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 61..120;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 181..313;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12447	Polyamine N-acetyltransferase 1 (EC 2.3.1.-) (Arylalkylamine N-acetyltransferase homolog) (scAANAT)	PAA1 YDR071C	191	
P07259	Protein URA2 [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2)]	URA2 YJL130C J0686	2214	REGION 2..400;  /note="GATase (Glutamine amidotransferase)"; REGION 401..440;  /note="Linker"; REGION 441..1482;  /note="CPSase (Carbamoyl-phosphate synthase)"; REGION 1483..1492;  /note="Linker"; REGION 1493..1821;  /note="Defective DHOase domain"; REGION 1822..1909;  /note="Linker"; REGION 1910..2214;  /note="ATCase (Aspartate transcarbamylase)"
P39937	Protein PAC2	PAC2 YER007W	518	
P38292	Peroxisomal membrane protein PEX32 (Peroxin-32)	PEX32 YBR168W YBR1220	413	
P25611	Regulator of drug sensitivity 1	RDS1 YCR106W	832	
P19541	Regulator of drug sensitivity 2	RDS2 YPL133C LPI12C	446	REGION 52..106;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 158..218;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q06835	Pre-mRNA-splicing factor RDS3 (Regulator of drug sensitivity 3)	RDS3 YPR094W P9513.2	107	
A0A0B7P221	Uncharacterized protein RDT1 (Ribosomally detected transcript 1)	RDT1 YCL054W-A	28	
P33323	Meiotic recombination protein REC104	REC104 YHR157W	182	
P21651	Recombination protein 107 (Meiotic recombination protein 2)	REC107 MER2 YJR021C J1462	314	REGION 1..22;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 241..314;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P32841	Meiotic recombination protein REC114	REC114 YMR133W YM9375.02	428	REGION 255..278;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 307..380;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P21538	DNA-binding protein REB1 (QBP)	REB1 GRF2 YBR049C YBR0502	810	REGION 1..80;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 114..161;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 180..243;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 294..313;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 346..365;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 572..667;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12188	Meiotic recombination protein REC8 (Cohesin REC8) (Sporulation protein 69)	REC8 SPO69 YPR007C LPZ7C	680	REGION 278..297;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 431..467;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 540..560;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53170	[Pyruvate dehydrogenase (acetyl-transferring)] kinase 2, mitochondrial (PDK 2) (Pyruvate dehydrogenase kinase 2) (EC 2.7.11.2) (Protein kinase of PDH protein 2) (Pyruvate dehydrogenase complex kinase 2) (PDC kinase 2) ([Pyruvate dehydrogenase [lipoamide]] kinase 2)	PKP2 YGL059W	491	
P01119	Ras-like protein 1 (EC 3.6.5.2)	RAS1 YOR101W YOR3205W	309	REGION 177..303;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38086	DNA repair and recombination protein RDH54 (RAD homolog 54) (Recombination factor TID1) (Two hybrid interaction with DMC1 protein 1) [Includes: DNA topoisomerase (EC 5.99.1.-); Putative helicase (EC 3.6.4.12)]	RDH54 TID1 YBR073W YBR0715	958	REGION 189..217;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12305	Thiosulfate:glutathione sulfurtransferase (TST) (EC 2.8.1.-) (Rhodanese-like protein 1)	RDL1 YOR285W	139	
Q08742	Thiosulfate sulfurtransferase RDL2, mitochondrial (EC 2.8.1.1) (Altered inheritance of mitochondria protein 42) (Found in mitochondrial proteome protein 31) (Rhodanese-like protein 2)	RDL2 AIM42 FMP31 YOR286W	149	
Q08904	Protein RDR1 (Repressor of drug resistance protein 1)	RDR1 YOR380W	546	
Q08273	RING-box protein HRT1 (RING-box protein 1) (E3 ubiquitin-protein ligase complex SCF subunit HRT1) (High level expression reduces Ty3 transposition protein 1) (Regulator of cullins protein 1)	HRT1 RBX1 ROC1 YOL133W	121	REGION 1..31;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P07271	ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1) (Petite integration frequency protein 1) (Telomere stability protein 1)	PIF1 TST1 YML061C YM9958.01C	859	REGION 142..178;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 782..859;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P46999	Cell wall protein PIR5 (Protein with internal repeats 5)	PIR5 YJL160C J0555	287	
P11938	DNA-binding protein RAP1 (Repressor/activator site-binding protein) (SBF-E) (TUF)	RAP1 GRF1 TUF1 YNL216W N1310	827	REGION 29..128;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 221..268;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 308..339;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 567..613;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 630..695;  /note="Activation domain"
P04650	60S ribosomal protein L39 (L46) (Large ribosomal subunit protein eL39) (YL40)	RPL39 RPL46 SPB2 YJL189W J0360	51	REGION 1..22;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P26755	Replication factor A protein 3 (RF-A) (Replication protein A 13 kDa subunit)	RFA3 YJL173C J0506	122	
P03872	Partitioning protein REP2 (R2) (Protein Charlie) (Trans-acting factor C)	REP2 R0040C	296	REGION 1..57;  /note="Interaction with REP1"; REGION 58..296;  /note="DNA-binding, and self-association"; REGION 228..296;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 276..296;  /note="Nuclear localization"
Q06407	Rho-type GTPase-activating protein 2	RGA2 YDR379W D9481.4	1009	REGION 143..228;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 358..433;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 449..608;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 664..709;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 723..780;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P12687	54S ribosomal protein L2, mitochondrial (Mitochondrial large ribosomal subunit protein bL27m) (YMR6) (YmL2)	MRP7 MRPL2 YNL005C N2007	371	
P35996	54S ribosomal protein L38, mitochondrial (Mitochondrial large ribosomal subunit protein uL14m) (YmL38) [Cleaved into: 54S ribosomal protein L34, mitochondrial (YmL34)]	MRPL38 MRPL34 YKL170W YKL634	138	
Q04225	Ribosome assembly protein RRB1	RRB1 YMR131C YM9553.07C	511	REGION 1..67;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 181..206;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12481	rRNA biogenesis protein RRP36 (Ribosomal RNA-processing protein 36)	RRP36 YOR287C	300	REGION 33..151;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P39938	40S ribosomal protein S26-A (Small ribosomal subunit protein eS26-A)	RPS26A RPS26 YGL189C G1355	119	REGION 1..20;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 88..119;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P05759	Ubiquitin-40S ribosomal protein S31 [Cleaved into: Ubiquitin; 40S ribosomal protein S31 (CEP76) (S37) (Small ribosomal subunit protein eS31) (YS24)]	RPS31 RPS37 UBI3 YLR167W L9470.14	152	
