Entry	Gene.names	Protein.names
P40339	RFC4	Replication factor C subunit 4 (Replication factor C4) (Activator 1 37 kDa subunit)
P38061	RPL32	60S ribosomal protein L32 (Large ribosomal subunit protein eL32)
Q12495	RLF2	Chromatin assembly factor 1 subunit p90 (CAF-1 90 kDa subunit) (RAP1 localization factor 2)
P36532	MRPL37	54S ribosomal protein L37, mitochondrial (Mitochondrial large ribosomal subunit protein mL54) (YmL37)
P16370	RPB3	DNA-directed RNA polymerase II subunit RPB3 (RNA polymerase II subunit 3) (RNA polymerase II subunit B3) (B44.5) (DNA-directed RNA polymerase II 45 kDa polypeptide)
P34087	RPB7	DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (B16)
P38192	RRT1	Regulator of rDNA transcription protein 1
P38792	RRP4	Exosome complex component RRP4 (Ribosomal RNA-processing protein 4)
P53117	RRT6	Regulator of rDNA transcription protein 6
P32786	RRN6	RNA polymerase I-specific transcription initiation factor RRN6
Q04947	RTN1	Reticulon-like protein 1
P07806	VAS1	Valine--tRNA ligase, mitochondrial (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)
P89114	SAE3	Pachytene arrest protein SAE3 (Sporulation in the absence of SPO11 protein 3)
P39954	SAH1	Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase)
P40075	SCS2	Vesicle-associated membrane protein-associated protein SCS2 (VAMP-associated protein SCS2) (Choline sensitivity suppressor protein 2) (VAP homolog 1)
Q12334	SCM3	Protein SCM3 (Suppressor of chromosome missegregation protein 3)
P53324	SAY1	Steryl acetyl hydrolase 1 (EC 3.1.1.-)
P28707	SBA1	Co-chaperone protein SBA1
P15303	SEC23	Protein transport protein SEC23
Q3E785	SDH6	Succinate dehydrogenase assembly factor 1, mitochondrial (SDH assembly factor 1) (SDHAF1)
P38890	SET5	Putative protein lysine methyltransferase SET5 (EC 2.1.1.-) (SET domain-containing protein 5)
P40090	SCC4	MAU2 chromatid cohesion factor homolog (Sister chromatid cohesion protein 4)
P16658	SEN2	tRNA-splicing endonuclease subunit SEN2 (EC 4.6.1.16) (Splicing endonuclease protein 2) (tRNA-intron endonuclease SEN2)
Q00711	SDH1	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (FP)
P38072	SCO2	Protein SCO2, mitochondrial
P38863	SPC97	Spindle pole body component SPC97
P50088	SPG1	Stationary phase gene 1 protein
P38283	SLI15	Inner centromere protein-related protein SLI15 (INCENP-related protein SLI15)
P06782	SNF1	Carbon catabolite-derepressing protein kinase (EC 2.7.11.1) (Sucrose nonfermentating protein 1)
P38247	SLM4	Protein SLM4 (EGO complex subunit 3) (GSE complex subunit 1)
P33749	MSN4	Zinc finger protein MSN4 (Multicopy suppressor of SNF1 protein 4)
P36052	YKL162C	Protein arginine methyltransferase NDUFAF7 homolog, mitochondrial (EC 2.1.1.320) (NADH dehydrogenase [ubiquinone] complex I, assembly factor 7 homolog) (Protein midA homolog)
P39744	NOC2	Nucleolar complex protein 2
P40219	OSW5	Outer spore wall protein 5
Q05166	ASM4	Nucleoporin ASM4 (Nuclear pore protein NUP59)
P53224	ORM1	Protein ORM1
P20133	BET2	Geranylgeranyl transferase type-2 subunit beta (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit beta) (GGTase-II-beta) (Type II protein geranyl-geranyltransferase subunit beta) (PGGT) (YPT1/SEC4 proteins geranylgeranyltransferase subunit beta)
Q02651	SMA1	Spore membrane assembly protein 1
P38128	SMP1	Transcription factor SMP1
Q07657	SHS1	Seventh homolog of septin 1 (Septation protein 7)
Q99176	SRN2	Protein SRN2 (ESCRT-I complex subunit VPS37) (Vacuolar protein sorting-associated protein 37)
P32342	SRP21	Signal recognition particle subunit SRP21 (Signal recognition particle 21 kDa protein)
P39706	SWD1	COMPASS component SWD1 (Complex proteins associated with SET1 protein SWD1) (Set1C component SWD1)
P15624	FRS1	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)
P32048	MSK1	Lysine--tRNA ligase, mitochondrial (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)
P07284	SES1	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)
P36145	TFA2	Transcription initiation factor IIE subunit beta (TFIIE-beta) (Factor A 43 kDa subunit) (Transcription factor A small subunit)
P38085	TAT1	Valine/tyrosine/tryptophan amino-acid permease 1 (Tyrosine and tryptophan amino acid transporter 1)
Q03640	TCB3	Tricalbin-3
P48363	PAC10	Prefoldin subunit 3 (Genes involved in microtubule biogenesis protein 2) (Gim complex subunit 2) (GimC subunit 2)
P25362	PET18	Protein PET18
P40534	PRM2	Pheromone-regulated membrane protein 2
P80210	ADE12	Adenylosuccinate synthetase (AMPSase) (AS-synthetase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)
P05748	RPL15A	60S ribosomal protein L15-A (L13) (Large ribosomal subunit protein eL15-A) (RP15R) (YL10) (YP18)
P21672	RNR3	Ribonucleoside-diphosphate reductase large chain 2 (EC 1.17.4.1) (Ribonucleotide reductase DNA damage-inducible regulatory subunit 2) (Ribonucleotide reductase R1 subunit 2) (Ribonucleotide reductase large subunit 2)
P41805	RPL10	60S ribosomal protein L10 (L9) (Large ribosomal subunit protein uL16) (Ubiquinol-cytochrome C reductase complex subunit VI-requiring protein)
P49723	RNR4	Ribonucleoside-diphosphate reductase small chain 2 (EC 1.17.4.1) (Ribonucleotide reductase R2 subunit 2) (Ribonucleotide reductase small subunit 2)
P02406	RPL28	60S ribosomal protein L28 (L27a) (L29) (Large ribosomal subunit protein uL15) (RP44) (RP62) (YL24)
P53060	RMR1	Reduced meiotic recombination protein 1
P07703	RPC40	DNA-directed RNA polymerases I and III subunit RPAC1 (RNA polymerases I and III subunit AC1) (C37) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (AC40) (C40)
P38805	RPF1	Ribosome production factor 1 (Ribosome biogenesis protein RPF1)
Q04598	YDR115W	54S ribosomal protein L34, mitochondrial (L34mt) (Mitochondrial large ribosomal subunit protein bL34m)
Q06090	MRPL51	54S ribosomal protein L51, mitochondrial (Mitochondrial large ribosomal subunit protein mL43)
P36121	RPC37	DNA-directed RNA polymerase III subunit RPC5 (RNA polymerase III subunit C5) (DNA-directed RNA polymerase III 37 kDa polypeptide) (RNA polymerase III subunit C37)
Q05942	RSA3	Ribosome assembly protein 3
P41058	RPS29B	40S ribosomal protein S29-B (S36) (Small ribosomal subunit protein uS14-B) (YS29)
Q12464	RVB2	RuvB-like protein 2 (RUVBL2) (EC 3.6.4.12) (TIP49-homology protein 2) (TIP49b homolog)
P39990	SNU13	13 kDa ribonucleoprotein-associated protein (Small nuclear ribonucleoprotein-associated protein 1)
P32364	SMY1	Kinesin-related protein SMY1 (Suppressor protein SMY1)
P40511	SPO22	Sporulation-specific protein 22
P53541	SPO1	Putative meiotic phospholipase SPO1 (EC 3.1.1.-) (Sporulation-specific protein 1)
P25345	SLM5	Asparagine--tRNA ligase, mitochondrial (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)
P09734	TUB3	Tubulin alpha-3 chain
P53904	ALF1	Tubulin-specific chaperone B (Alpha-tubulin formation protein 1) (Tubulin-folding cofactor B)
P38793	TRM5	tRNA (guanine(37)-N1)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5)
P47047	MTR4	ATP-dependent RNA helicase DOB1 (EC 3.6.4.13) (mRNA transport regulator MTR4)
P53174	PRM8	Pheromone-regulated membrane protein 8 (DUP240 protein PRM8) (Protein DUP1)
P29461	PTP2	Tyrosine-protein phosphatase 2 (EC 3.1.3.48) (Protein-tyrosine phosphatase 2) (PTPase 2)
P02381	VAR1	Ribosomal protein VAR1, mitochondrial (Mitochondrial small ribosomal subunit protein uS3m)
Q03465	RPN4	Protein RPN4 (Nuclear protein SON1) (Ubiquitin fusion degradation protein 5)
P36528	MRPL17	54S ribosomal protein L17, mitochondrial (Mitochondrial large ribosomal subunit protein mL46) (YmL17/YmL30)
P20436	RPB8	DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RNA polymerases I, II, and III subunit ABC3) (ABC14.4) (ABC14.5) (DNA-directed RNA polymerases I, II, and III 14.5 kDa polypeptide)
P22276	RET1	DNA-directed RNA polymerase III subunit RPC2 (RNA polymerase III subunit C2) (EC 2.7.7.6) (C128) (DNA-directed RNA polymerase III 130 kDa polypeptide)
Q08745	RPS10A	40S ribosomal protein S10-A (Small ribosomal subunit protein eS10-A)
P06367	RPS14A	40S ribosomal protein S14-A (RP59A) (Small ribosomal subunit protein uS11-A)
Q03940	RVB1	RuvB-like protein 1 (RUVBL1) (EC 3.6.4.12) (TIP49-homology protein 1) (TIP49a homolog)
P20134	SFL1	Flocculation suppression protein (Protein SFL1)
P54867	SLG1	Protein SLG1 (Cell wall integrity and stress response component 1) (Synthetic lethal with GAP protein 1)
P36094	SPC42	Spindle pole body component SPC42
P40485	SLM1	Phosphatidylinositol 4,5-bisphosphate-binding protein SLM1 (Synthetic lethal with MSS4 protein 1) (TORC2 effector protein SLM1)
Q12074	SPE3	Spermidine synthase (SPDSY) (EC 2.5.1.16) (Putrescine aminopropyltransferase)
P38166	SFT2	Protein transport protein SFT2
P38778	SMF2	Manganese transporter SMF2
P32583	SRP40	Suppressor protein SRP40
Q12516	SRF1	Regulator of phospholipase D SRF1 (SPO14 regulatory factor 1)
P15705	STI1	Heat shock protein STI1
P11972	SST2	Protein SST2
P25344	STE50	Protein STE50
P33300	SUR1	Mannosyl phosphorylinositol ceramide synthase SUR1 (EC 2.4.-.-)
O74700	TIM9	Mitochondrial import inner membrane translocase subunit TIM9
O13539	THP2	THO complex subunit THP2
Q05998	THI7	Thiamine transporter
P31688	TPS2	Trehalose-phosphatase (EC 3.1.3.12) (Trehalose synthase complex catalytic subunit TPS2) (Trehalose-6-phosphate phosphatase) (TPP)
P35172	NTH2	Probable trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)
P80967	TOM5	Mitochondrial import receptor subunit TOM5 (Translocase of outer membrane 5 kDa subunit)
P53322	TNA1	High-affinity nicotinic acid transporter (Nicotinic acid permease)
P39961	TOG1	Transcription factor TOG1 (Transcriptional regulator of oleate 1)
P38334	TRS20	Trafficking protein particle complex subunit 20 (TRAPP subunit 20) (Transport protein particle 20 kDa subunit)
P38264	PHO88	SRP-independent targeting protein 3 (Inorganic phosphate transport protein PHO88) (Phosphate metabolism protein PHO88)
Q12036	PPT2	Mitochondrial holo-[acyl-carrier-protein] synthase (Mitochondrial holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase PPT2) (PPTase)
P33298	RPT3	26S proteasome regulatory subunit 6B homolog (Protein YNT1) (Tat-binding homolog 2)
P47033	PRY3	Cell wall protein PRY3 (Pathogenesis-related protein 3)
P53833	POP3	Ribonucleases P/MRP protein subunit POP3 (RNA-processing protein POP3) (RNases MRP/P 22.6 kDa subunit)
Q03713	RCF1	Respiratory supercomplex factor 1, mitochondrial (Altered inheritance of mitochondria protein 31)
P22216	RAD53	Serine/threonine-protein kinase RAD53 (EC 2.7.12.1) (CHEK2 homolog) (Serine-protein kinase 1)
P33323	REC104	Meiotic recombination protein REC104
P21524	RNR1	Ribonucleoside-diphosphate reductase large chain 1 (EC 1.17.4.1) (Ribonucleotide reductase R1 subunit 1) (Ribonucleotide reductase large subunit 1)
P38232	REG2	Protein REG2
P0CX42	RPL23B	60S ribosomal protein L23-B (L17a) (Large ribosomal subunit protein uL14-B) (YL32)
P0CX44	RPL1B	60S ribosomal protein L1-B (L10a) (Large ribosomal subunit protein uL1-B)
P0CX26	RPL43B	60S ribosomal protein L43-B (L37a) (Large ribosomal subunit protein eL43-B) (YL35)
P43602	ROG3	Protein ROG3 (Revertant of glycogen synthase kinase mutation protein 3)
Q04062	RPN9	26S proteasome regulatory subunit RPN9 (Proteasome non-ATPase subunit 7)
P46969	RPE1	Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (RPE)
P14063	MRPL31	54S ribosomal protein L31, mitochondrial (Mitochondrial large ribosomal subunit protein mL60) (YmL31)
P38204	RRN10	RNA polymerase I-specific transcription initiation factor RRN10
Q12098	SLX4	Structure-specific endonuclease subunit SLX4 (Synthetic lethal of unknown function protein 4)
P38788	SSZ1	Ribosome-associated complex subunit SSZ1 (DnaK-related protein SSZ1) (Heat shock protein 70 homolog SSZ1) (Pleiotropic drug resistance protein 13)
Q02875	SYH1	SMY2 homolog 2
Q07748	THI13	4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase THI13 (HMP-P synthase) (Hydroxymethylpyrimidine phosphate synthase) (EC 2.-.-.-) (Thiamine biosynthesis protein 13) (Thiamine pyrimidine synthase)
P38187	UBP13	Ubiquitin carboxyl-terminal hydrolase 13 (EC 3.4.19.12) (Deubiquitinating enzyme 13) (Ubiquitin thioesterase 13) (Ubiquitin-specific-processing protease 13)
P38781	RSC30	Chromatin structure-remodeling complex protein RSC30 (Remodel the structure of chromatin complex subunit 30)
P25632	RSC6	Chromatin structure-remodeling complex protein RSC6 (Remodel the structure of chromatin complex subunit 6)
P01098	STF1	ATPase-stabilizing factor 9 kDa, mitochondrial (ATP synthase F1 subunit epsilon)
P16965	STF2	ATPase-stabilizing factor 15 kDa protein
P0C0X0	RPS28B	40S ribosomal protein S28-B (S33) (Small ribosomal subunit protein eS28-B) (YS27)
P53538	SSU72	RNA polymerase II subunit A C-terminal domain phosphatase SSU72 (CTD phosphatase SSU72) (EC 3.1.3.16) (Suppressor of SUA7 protein 2)
P39938	RPS26A	40S ribosomal protein S26-A (Small ribosomal subunit protein eS26-A)
P53850	RTC4	Restriction of telomere capping protein 4
Q00916	SNP1	U1 small nuclear ribonucleoprotein 70 kDa homolog (U1 70K) (U1 snRNP 70 kDa homolog) (U1-70K) (U1 small nuclear ribonucleoprotein SNP1) (U1 snRNP protein SNP1)
Q03976	RSM24	37S ribosomal protein S24, mitochondrial (Mitochondrial ribosomal small subunit protein 24) (Mitochondrial small ribosomal subunit protein mS35)
Q07534	HEM25	Mitochondrial glycine transporter (Heme biosynthesis protein of SLC25 family) (Solute carrier family 25 member 38 homolog)
P40479	SDP1	Dual-specificity protein phosphatase SDP1 (EC 3.1.3.48) (Stress-inducible MAPK phosphatase)
P22082	SNF2	Transcription regulatory protein SNF2 (EC 3.6.4.-) (ATP-dependent helicase SNF2) (Regulatory protein GAM1) (Regulatory protein SWI2) (SWI/SNF complex component SNF2) (Transcription factor TYE3)
Q03148	SNZ1	Pyridoxal 5'-phosphate synthase subunit SNZ1 (PLP synthase subunit SNZ1) (EC 4.3.3.6) (PDX1 homolog 1) (Pdx1.1) (p35)
P43321	SMD3	Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3)
P53965	SIW14	Inositol phosphatase SIW14 (EC 3.6.1.52) (5-PP-InsP phosphatase) (Inositol pyrophosphate phosphatase SIW14) (Oxidant-induced cell-cycle arrest protein 3) (Synthetic interaction with WHI2 protein 14)
Q03656	SKY1	Serine/threonine-protein kinase SKY1 (SRPK) (EC 2.7.11.1)
P52286	SKP1	Suppressor of kinetochore protein 1 (Centromere DNA-binding protein complex CBF3 subunit D) (E3 ubiquitin ligase complex SCF subunit SKP1)
P22213	SLY1	Protein SLY1 (Suppressor of loss of YPT1 protein 1)
P39073	SSN3	Meiotic mRNA stability protein kinase SSN3 (EC 2.7.11.22) (EC 2.7.11.23) (Cyclin-dependent kinase 8) (Suppressor of RNA polymerase B SRB10)
P38326	SWC5	SWR1-complex protein 5
P38931	SSN2	Mediator of RNA polymerase II transcription subunit 13 (Mediator complex subunit 13) (Protein SCA1) (Suppressor of RNA polymerase B SSN2)
P38688	SRP72	Signal recognition particle subunit SRP72 (Signal recognition particle 72 kDa protein homolog)
P46679	STB2	Protein STB2
P38869	SVP26	Protein SVP26 (Sed5 compartment vesicle protein of 26 kDa)
Q04921	SPR28	Sporulation-regulated protein 28
Q12463	TRM11	tRNA (guanine(10)-N2)-methyltransferase (EC 2.1.1.214) (tRNA [Gm10] methyltransferase) (tRNA guanosine-2'-O-methyltransferase TRM11) (tRNA methylase 11)
P00912	TRP1	N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)
P39731	MTW1	Kinetochore-associated protein MTW1 (Mis12-like protein)
P46964	OST2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST2 (Oligosaccharyl transferase subunit OST2) (Oligosaccharyl transferase 16 kDa subunit) (Oligosaccharyl transferase subunit epsilon)
P39682	PRP39	Pre-mRNA-processing factor 39
P28005	POP5	Ribonuclease P/MRP protein subunit POP5 (EC 3.1.26.5) (RNA-processing protein POP5) (RNase P/MRP 19.6 kDa subunit)
Q08904	RDR1	Protein RDR1 (Repressor of drug resistance protein 1)
Q12223	RAD59	DNA repair protein RAD59
P0C2H7	RPL27B	60S ribosomal protein L27-B (Large ribosomal subunit protein eL27-B)
P04449	RPL24A	60S ribosomal protein L24-A (L30) (Large ribosomal subunit protein eL24-A) (RP29) (YL21)
P53724	MRPL50	54S ribosomal protein L50, mitochondrial (Mitochondrial large ribosomal subunit protein bL9m)
P40992	RRN7	RNA polymerase I-specific transcription initiation factor RRN7
P07281	RPS19B	40S ribosomal protein S19-B (RP55B) (S16a) (Small ribosomal subunit protein eS19-B) (YS16B)
P0CX39	RPS8A	40S ribosomal protein S8-A (RP19) (S14) (Small ribosomal subunit protein eS8-A) (YS9)
P38429	SAP30	Transcriptional regulatory protein SAP30
P18759	SEC18	Vesicular-fusion protein SEC18
P32855	SEC8	Exocyst complex component SEC8
Q12314	SFM1	Protein arginine N-methyltransferase SFM1 (EC 2.1.1.-) (SPOUT family methyltransferase 1)
P47057	SNX4	Sorting nexin-4 (Autophagy-related protein 24) (Cytoplasm to vacuole targeting protein 13)
Q03029	SPO19	Sporulation-specific protein 19
P32944	SWE1	Mitosis inhibitor protein kinase SWE1 (EC 2.7.11.1) (Wee1 homolog)
P12954	SRS2	ATP-dependent DNA helicase SRS2 (EC 3.6.4.12)
P41901	SPR3	Sporulation-regulated protein 3
Q03010	UME1	Transcriptional regulatory protein UME1 (WD repeat-containing transcriptional modulator 3)
Q00723	PRP38	Pre-mRNA-splicing factor 38 (Pre-mRNA-processing factor 38)
P33203	PRP40	Pre-mRNA-processing protein PRP40
P15380	PUT4	Proline-specific permease
P48581	RAD17	DNA damage checkpoint control protein RAD17 (DNA repair exonuclease RAD17)
Q08742	RDL2	Thiosulfate sulfurtransferase RDL2, mitochondrial (EC 2.8.1.1) (Altered inheritance of mitochondria protein 42) (Found in mitochondrial proteome protein 31) (Rhodanese-like protein 2)
P32338	RME1	Zinc finger protein RME1
P20434	RPB5	DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (ABC27) (DNA-directed RNA polymerases I, II, and III 27 kDa polypeptide)
P25042	ROX1	Repressor ROX1 (Heme-dependent repression factor) (Hypoxic function repressor)
P32387	MRP20	54S ribosomal protein L41, mitochondrial (Mitochondrial large ribosomal subunit protein uL23m) (YmL41)
P39516	RPS14B	40S ribosomal protein S14-B (RP59B) (Small ribosomal subunit protein uS11-B)
P26786	RPS7A	40S ribosomal protein S7-A (RP30) (RP40) (Small ribosomal subunit protein eS7-A)
P32832	NPL6	Chromatin structure-remodeling complex subunit RSC7 (Nuclear protein localization protein 6) (Remodel the structure of chromatin complex subunit 7)
P39939	RPS26B	40S ribosomal protein S26-B (Small ribosomal subunit protein eS26-B)
P38120	MRPS9	37S ribosomal protein S9, mitochondrial (Mitochondrial small ribosomal subunit protein uS9m)
Q04279	SEG1	Eisosome protein SEG1 (Stability of eisosomes guaranteed protein 1)
Q01590	SED5	Integral membrane protein SED5
Q04195	SIZ1	E3 SUMO-protein ligase SIZ1 (EC 2.3.2.-) (E3 SUMO-protein transferase SIZ2) (SAP and Miz-finger domain-containing protein 1) (Ubiquitin-like protein ligase 1)
Q06217	SMD2	Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)
P32579	SUA5	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (Suppressor of upstream AUG protein 5) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein SUA5) (tRNA threonylcarbamoyladenosine biosynthesis protein SUA5)
P16140	VMA2	V-type proton ATPase subunit B (V-ATPase subunit B) (V-ATPase 57 kDa subunit) (Vacuolar proton pump subunit B)
